rank,har_id,har_alt_id,surfaced,is_disease_gene,chrom,start,end,gene,gene_distance,gene_confidence,gene_assignment_method,total_score,width,phylop_mean,phylop_max,gene_conf_num,gene_n_disorders,plac_gene,plac_type,plac_atac,gwas_trait,gwas_snp,gwas_pval,gwas_distance,gwas_mapped_trait,gwas_study,gwas_pubmed,brain_dnase_overlap,brain_dnase_peak,temporal_gene,gene_peak_pcw,gene_midfetal_frac,gene_in_midfetal,n_substitutions,n_indels,aln_length,subst_rate,n_motifs_human,n_motifs_chimp,n_motif_gained,n_motif_lost,motif_disruption,motif_tfs,score_constraint,score_acceleration,score_gene,score_disease,score_brain,score_temporal,score_motif,contrib_constraint,contrib_acceleration,contrib_gene,contrib_disease,contrib_brain,contrib_temporal,contrib_motif
147,HAR_1073,HARsv2_1017,new,False,chr16,62049798,62050035,CDH8,13360,,nearest_tss,0.32514169002978033,237,3.1992944285188485,8.894000053405762,0,0,,,,Educational attainment,rs74710412,9e-22,2100,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,CDH8,24.0,0.6722692248779201,True,6,0,237,0.02531645569620253,58,58,15,15,30,+MSC;+MYF6;-OLIG2;+TFAP4;-RARA;+Ascl2;-OLIG3;-ZNF558;+BHLHE22;-DMRTC2;-Hmx3;-ISL2;-Mafb;-MAFF;-MEIS1;-MEIS2;+MYF5;+Neurod2;-NKX2-5;-Nkx3-2;-NRL;+Olig2;-Pax7;+Ptf1A;+SREBF1;+Tcf12;+Tcf21;+Twist2;+ZNF317;+ZNF341,0.382752431350861,0.05369538587178441,0.295992,0.38555827722707153,0.0,0.6722692248779201,0.30303030303030304,0.06889543764315498,0.003758677011024909,0.06511824,0.08482282098995574,0.0,0.0873949992341296,0.015151515151515152
149,HAR_2409,HARsv2_2291,new,False,chr5,94691409,94691548,SLF1,72741,,nearest_tss,0.3246975859655092,139,3.3479859848119324,8.89900016784668,0,0,,,,Educational attainment,rs76370969,2e-08,2879,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,SLF1,,0.0,False,41,34,156,0.3360655737704918,38,40,5,7,12,-HNF1B;+PROP1;+MEF2D;-FOXC1;-FOXC2;+FOXD2;+FOXE1;-Foxq1;-POU4F1;-POU4F2;-POU4F3;+ZNF384,0.4087145550163556,0.7127842411422528,0.2781777,0.13624713237273364,0.8,0.0,0.12121212121212122,0.07356861990294401,0.0498948968799577,0.06119909400000001,0.029974369122001403,0.10400000000000001,0.0,0.0060606060606060615
152,HAR_3033,HARsv2_2894,new,False,chr8,134409317,134409467,ZFAT-AS1,188604,,nearest_tss,0.32410936288599856,150,1.8685776951733757,8.569000244140625,0,0,,,,Educational attainment,rs76835317,4e-15,2945,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZFAT-AS1,9.0,0.5968971700134613,False,3,0,150,0.02,80,76,5,1,6,-LIN54;+CDX4;+HOXB13;+ERF::HOXB13;+HOXA10;+HOXD9,0.15040411745763196,0.04241935483870968,0.2434188,0.25403725351300943,0.8,0.5968971700134613,0.06060606060606061,0.027072741142373753,0.0029693548387096777,0.053552136,0.055888195772862075,0.10400000000000001,0.07759663210174997,0.0030303030303030307
154,HAR_776,HARsv2_0730,new,False,chr14,32947798,32948033,NPAS3,8920,,nearest_tss,0.3239560794797506,235,6.429903716468095,8.817000389099121,0,0,,,,Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy),rs36063234,2e-11,7192,"attention deficit-hyperactivity disorder, risk-taking behaviour",Investigating the shared genetic architecture between attention-deficit/hyperactivity disorder and risk taking behavior: A large-scale genomewide cross-trait analysis.,38565336,False,,NPAS3,37.0,0.36741234406462686,False,2,0,235,0.00851063829787234,71,76,3,8,11,-RORA;-MSC;-TFAP4;-FERD3L;+ATF2;+CTCF;+ERF::NHLH1;-NHLH1;-TAL1::TCF3;-Tcf21;-TFAP4::FLI1,0.9468293698107155,0.01805078929306795,0.297324,0.15242180626977267,0.0,0.36741234406462686,0.1111111111111111,0.1704292865659288,0.0012635552505147565,0.06541128,0.033532797379349985,0.0,0.04776360472840149,0.005555555555555556
166,HAR_1514,HARsv2_1439,new,False,chr2,118051986,118052145,INSIG2,36299,,nearest_tss,0.31688142863957774,159,6.539481188075172,8.902999877929688,0,0,,,,Fluid intelligence score (baseline),rs11686213,4e-08,20996,intelligence,Combining cross-sectional and longitudinal genomic approaches to identify determinants of cognitive and physical decline.,40374629,False,,INSIG2,37.0,0.5374939311683695,False,3,0,159,0.018867924528301886,25,28,0,3,3,-SOX2;-SOX13;-Sox3,0.9659620222607826,0.04001825928180158,0.2891103,0.02369708143577827,0.0,0.5374939311683695,0.030303030303030304,0.17387316400694086,0.002801278149726111,0.06360426599999999,0.005213357915871219,0.0,0.06987421105188804,0.0015151515151515154
173,HAR_2354,HARsv2_2239,new,False,chr5,31095181,31095294,CDH6,98392,,nearest_tss,0.31250246358502537,113,3.715581660590899,8.899999618530273,0,0,,,,Depression,rs4262121,7e-09,16330,major depressive disorder,"Depression pathophysiology, risk prediction of recurrence and comorbid psychiatric disorders using genome-wide analyses.",37464041,False,,CDH6,12.0,0.6315814102164511,True,49,16,121,0.4666666666666667,42,46,2,6,8,+Spz1;+EWSR1-FLI1;-PHOX2A;-PROP1;-DUXA;-RORA;-RORB;-RORC,0.4728981887841226,0.9897849462365592,0.27048239999999996,0.05656239999446111,0.0,0.6315814102164511,0.08080808080808081,0.08512167398114207,0.06928494623655915,0.05950612799999999,0.012443727998781445,0.0,0.08210558332813865,0.004040404040404041
182,HAR_382,ZOOHAR.183,new,False,chr11,27729007,27729121,BDNF,27954,,nearest_tss,0.30974005151472234,114,3.6482736530441744,8.89900016784668,0,0,,,,Amyloid beta positivity in normal cognition,rs7481773,5e-11,723,amyloid-beta measurement,Ethnic differences in the frequency of β-amyloid deposition in cognitively normal individuals.,35366586,False,,BDNF,21.0,0.6926448906256253,True,6,0,114,0.05263157894736842,37,20,29,12,41,+JDP2;-POU3F2;-POU3F3;-POU3F4;-POU5F1B;+Thap11;+BACH1;+Atf3;+BATF;+BATF::JUN;+Jun;+BATF3;+BNC2;+FOS;+FOS::JUN;+FOS::JUNB;+JUNB;+FOS::JUND;+JUND;+FOSB::JUNB;+FOSL1;+FOSL1::JUN;+FOSL1::JUNB;+FOSL1::JUND;+FOSL1::JUND;+FOSL2::JUN;+FOSL2::JUNB;+FOSL2::JUND;-GFI1;-Gfi1B;+HNF4A;+HNF4G;+JUN::JUNB;+NFE2;-POU1F1;-POU2F1;-POU2F2;-POU2F3;-POU3F1;-POU5F1;+ZNF684,0.46114594905262285,0.11162988115449915,0.2916138,0.20006248416378755,0.0,0.6926448906256253,0.41414141414141414,0.08300627082947211,0.007814091680814941,0.064155036,0.044013746516033264,0.0,0.0900438357813313,0.02070707070707071
186,HAR_650,ZOOHAR.312,new,False,chr13,62033728,62033778,LINC00358,4180,,nearest_tss,0.3076965861218489,50,2.8982400143146516,8.564000129699707,0,0,,,,Educational attainment,rs17060737,5e-10,198,educational attainment,Genetic Risk for Smoking: Disentangling Interplay Between Genes and Socioeconomic Status.,34855049,False,,LINC00358,13.0,1.0,True,3,0,50,0.06,9,11,2,4,6,-Sox7;-MEIS1;-SOX10;-Sox17;+STAT3;+Stat6,0.33018716048769,0.12725806451612903,0.298746,0.18454731676196645,0.0,1.0,0.06060606060606061,0.05943368888778419,0.008908064516129034,0.06572412,0.04060040968763262,0.0,0.13,0.0030303030303030307
189,HAR_2000,HARsv2_1899,new,False,chr3,107598985,107599445,BBX,76024,,nearest_tss,0.30673682343129105,460,3.303023692226166,8.869999885559082,0,0,,,,Educational attainment,rs115876159,6e-11,10496,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,BBX,9.0,0.29364701417460853,False,4,0,460,0.008695652173913044,122,118,6,2,8,-EWSR1-FLI1;+Ahr::Arnt;+Ar;+Foxq1;+NR3C2;+PAX3;+Rhox11;-SPIC,0.400863963970722,0.01844319775596073,0.2771928,0.11860615541154851,0.8,0.29364701417460853,0.08080808080808081,0.07215551351472996,0.0012910238429172513,0.060982416000000005,0.026093354190540673,0.10400000000000001,0.03817411184269911,0.004040404040404041
190,HAR_1232,HARsv2_1171,new,False,chr18,25174720,25174995,ZNF521,177172,,nearest_tss,0.305114118014147,275,5.377927748736213,8.89900016784668,0,0,,,,Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy),rs8085882,4e-08,10785,"attention deficit-hyperactivity disorder, risk-taking behaviour",Investigating the shared genetic architecture between attention-deficit/hyperactivity disorder and risk taking behavior: A large-scale genomewide cross-trait analysis.,38565336,False,,ZNF521,35.0,0.44583672672376595,False,3,0,275,0.01090909090909091,116,86,50,20,70,+DUX4;+POU3F4;+DUXA;+Alx1;+ALX3;+Alx4;+ARGFX;+Arx;-BARX1;+BARX2;-BSX;-DLX1;-Dlx3;-Dlx4;-DLX6;+DRGX;+Dux;+EGR4;+HOXA1;+EMX1;+EMX2;+EN1;+HOXA2;+EVX1;+EVX2;-GBX2;+GSX1;-HESX1;-HOXA7;+HOXB2;+HOXB3;+HOXB5;+HOXC8;+ISX;-LBX2;-LHX2;+Lhx3;+Lhx4;+LHX6;+Lhx8;+LMX1A;+LMX1B;+mix-a;+MIXL1;+MNX1;-MSX1;-MSX2;-Msx3;+NKX6-1;+NKX6-2;-Nobox;+NOTO;+PDX1;+POU2F3;-POU4F1;-POU4F3;+POU5F1;+POU6F1;+PPARA::RXRA;+PRRX1;-RAX;-RAX2;-SHOX;+Shox2;+TLX2;+UNCX;+VAX1;+VAX2;+VSX2;+ZNF708,0.763150277007691,0.023137829912023462,0.2468484,0.08412937377861841,0.0,0.44583672672376595,0.7070707070707071,0.13736704986138437,0.0016196480938416426,0.054306648,0.01850846223129605,0.0,0.05795877447408958,0.03535353535353535
194,HAR_2547,HARsv2_2421,new,False,chr6,16431169,16431439,GMPR,192583,,nearest_tss,0.30218505716992267,270,2.912152390282658,8.861000061035156,0,0,,,,Educational attainment,rs77980141,3e-08,2273,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,GMPR,37.0,0.37845052981308225,False,4,0,270,0.014814814814814815,49,48,4,3,7,-HOXB2::ELK1;+ELF3;+GATA1::TAL1;-THAP1;+ZNF189;-ZNF281;+ZNF582,0.3326163154065496,0.031421744324970136,0.2422251,0.13677797219518897,0.8,0.37845052981308225,0.0707070707070707,0.05987093677317893,0.0021995221027479098,0.053289522,0.030091153882941573,0.10400000000000001,0.04919856887570069,0.0035353535353535356
200,HAR_1974,HARsv2_1874,new,False,chr3,85466036,85466429,MIR5688,80327,,nearest_tss,0.2993615281302424,393,3.807851618233064,8.88599967956543,0,0,,,,Attention deficit hyperactivity disorder or risk-taking behavior (pleiotropy),rs62250712,2.9999999999999998e-36,1470,"attention deficit-hyperactivity disorder, risk-taking behaviour",Investigating the shared genetic architecture between attention-deficit/hyperactivity disorder and risk taking behavior: A large-scale genomewide cross-trait analysis.,38565336,False,,MIR5688,,0.0,False,4,0,393,0.010178117048346057,81,77,4,0,4,+Bcl11B;+PRDM1;+Runx1;+ZIM3,0.4890088820247937,0.02158745793318559,0.2759019,0.6686826695011572,0.0,0.0,0.04040404040404041,0.08802159876446286,0.0015111220553229914,0.060698418,0.14711018729025457,0.0,0.0,0.0020202020202020206
203,HAR_2408,HARsv2_2290,new,False,chr5,94594555,94594813,KIAA0825,23792,,nearest_tss,0.2982789633158364,258,3.130978115497525,8.840999603271484,0,0,,,,Educational attainment (years of education),rs10074178,2e-08,2555,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,False,,KIAA0825,12.0,0.6345403221112101,True,77,82,299,0.3548387096774194,26,27,1,2,3,-Nr2e1;-ZNF274;+ZNF680,0.3708241375643985,0.7526014568158169,0.29286239999999997,0.13824270539785755,0.0,0.6345403221112101,0.030303030303030304,0.06674834476159174,0.05268210197710719,0.06442972799999999,0.03041339518752866,0.0,0.08249024187445732,0.0015151515151515154
205,HAR_2775,HARsv2_2643,new,False,chr7,36986532,36986659,ELMO1-AS1,11137,,nearest_tss,0.2977506275416879,127,4.693624900192395,8.902999877929688,0,0,,,,Externalizing behaviour (multivariate analysis),rs17170827,2e-10,20157,"social inhibition quality, attention deficit-hyperactivity disorder, substance abuse",Multivariate analysis of 1.5 million people identifies genetic associations with traits related to self-regulation and addiction.,34446935,True,AG80295,ELMO1-AS1,,0.0,False,2,0,127,0.015748031496062992,62,62,2,2,4,+HNF1B;+HNF1A;-POU4F2;-ZIM3,0.6436683398926701,0.0334010668021336,0.2966589,0.037577689384799474,0.8,0.0,0.04040404040404041,0.11586030118068062,0.0023380746761493525,0.065264958,0.008267091664655885,0.10400000000000001,0.0,0.0020202020202020206
220,HAR_2422,ZOOHAR.205,new,False,chr5,107417703,107417897,EFNA5,253041,,nearest_tss,0.28860034266018036,194,4.7177081596786286,8.902999877929688,0,0,,,,Educational attainment (MTAG),rs252991,1e-12,13749,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,False,,EFNA5,13.0,0.6847293025580808,True,5,1,194,0.025906735751295335,26,26,6,6,12,+FOXC1;-ZNF770;-ZNF558;-ATF4;-JUN;-CEBPG;+Hoxa13;+FOXD2;+FOXE1;-HOXC13;+Msgn1;+USF1,0.6478733706061651,0.054947350827344144,0.22408769999999997,0.1080096,0.0,0.6847293025580808,0.12121212121212122,0.11661720670910972,0.0038463145579140903,0.049299293999999994,0.023762112,0.0,0.08901480933255052,0.0060606060606060615
222,HAR_52,HARsv2_0043,new,False,chr1,57253781,57254184,DAB1,170123,,nearest_tss,0.28820958698456767,403,3.942658157109205,8.894000053405762,0,0,,,,Educational attainment (years of education),rs548897,1e-08,1424,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,False,,DAB1,12.0,0.7726646690529898,True,4,1,403,0.009950248756218905,134,142,2,10,12,-NFIC::TLX1;+ZNF136;-ZNF418;+ZNF35;-HNF4A;-HNF4G;-MEIS1;-NFIC;-PBX3;-PKNOX1;-TEAD4;-ZNF574,0.512546627680782,0.02110415663617397,0.2489631,0.1508864,0.0,0.7726646690529898,0.12121212121212122,0.09225839298254075,0.0014772909645321781,0.054771882,0.033195008,0.0,0.10044640697688868,0.0060606060606060615
224,HAR_513,HARsv2_0486,new,False,chr12,16197756,16197830,SLC15A5,79856,,nearest_tss,0.28702775090313937,74,4.144199689734721,8.815999984741211,0,0,,,,Lifetime major depressive disorder (SoftImpute and observed),rs10772898,2e-08,21637,major depressive disorder,Phenotype integration improves power and preserves specificity in biobank-based genetic studies of major depressive disorder.,37985818,False,,SLC15A5,12.0,0.7922181616856243,True,3,0,74,0.04054054054054054,12,26,7,21,28,+Sox6;+Sox7;-Atf3;-Bach1::Mafk;-MAFK;+BARHL1;+BARHL2;-BATF;-BATF::JUN;-Jun;-BATF3;-BNC2;-FOS;-FOSL2;+SOX2;-HOXA4;-HOXB4;-HOXC4;-HOXD4;-MAF::NFE2;-MAFA;-Mafg;-MAFG::NFE2L1;-Nfe2l2;-POU6F1;+SOX13;+Sox3;-ZNF354A,0.5477365626320537,0.08598517872711423,0.2760432,0.02071330889966562,0.0,0.7922181616856243,0.2828282828282828,0.09859258127376967,0.006018962510897997,0.060729504,0.004556927957926437,0.0,0.10298836101913117,0.014141414141414142
225,HAR_1399,HARsv2_1330,new,False,chr2,22329088,22329838,LINC01884,206641,,nearest_tss,0.2866749000307142,750,2.0166141399308746,8.902999877929688,0,0,,,,Externalizing behaviour (multivariate analysis),rs4074442,1e-22,1405,"social inhibition quality, attention deficit-hyperactivity disorder, substance abuse",Multivariate analysis of 1.5 million people identifies genetic associations with traits related to self-regulation and addiction.,34446935,True,AG80295,LINC01884,,0.0,False,11,0,750,0.014666666666666666,141,141,5,5,10,+NFIC::TLX1;-MSC;+ZBTB24;+NFIC;+OSR2;-Stat5a;-Tcf21;+ZBTB6;-ZNF214;-ZNF343,0.17625185610271543,0.03110752688172043,0.2380077,0.415272,0.8,0.0,0.10101010101010101,0.031725334098488774,0.00217752688172043,0.052361694,0.09135984,0.10400000000000001,0.0,0.005050505050505051
232,HAR_1759,HARsv2_1671,new,False,chr20,43113162,43113474,PTPRT,76433,,nearest_tss,0.28375665922993754,312,3.9307953937380913,8.89900016784668,0,0,,,,Educational attainment,rs118146277,1e-09,3667,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,PTPRT,21.0,0.6897324256127715,True,4,0,312,0.01282051282051282,119,116,7,4,11,-POU3F3;-LIN54;+CREB1;+Mafb;+MAFF;+MEIS1;+NR4A1;+NR4A2;+NRL;-SCRT1;-Vdr,0.5104753430878068,0.027191894127377998,0.2770701,0.1535976,0.0,0.6897324256127715,0.1111111111111111,0.09188556175580523,0.0019034325889164601,0.060955421999999995,0.033791472,0.0,0.08966521532966029,0.005555555555555556
234,HAR_2825,ZOOHAR.266,new,False,chr7,111123474,111123530,LRRN3,32348,,nearest_tss,0.28301051417308,56,4.572089248536421,8.902999877929688,0,0,,,,Schizophrenia,rs17439799,1e-08,21953,schizophrenia,Genome-Wide Association Study Detected Novel Susceptibility Genes for Schizophrenia and Shared Trans-Populations/Diseases Genetic Effect.,30285260,False,,LRRN3,24.0,0.6947356069579984,True,3,0,56,0.05357142857142857,17,20,3,6,9,-RFX1;-CDX1;-CDX4;-HOXA10;-HOXD9;-MEIS1;+Nfat5;+Nfatc1;+NFATC3,0.6224477427268199,0.11362327188940093,0.2902956,0.0195008,0.0,0.6947356069579984,0.09090909090909091,0.11204059369082758,0.007953629032258066,0.063865032,0.004290176,0.0,0.0903156289045398,0.004545454545454546
245,HAR_2726,HARsv2_2594,new,False,chr7,13523775,13524025,ETV1,465817,,nearest_tss,0.2799641741811964,250,1.73795274588641,7.111999988555908,0,0,,,,Educational attainment,rs2692473,2e-10,4697,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ETV1,25.0,0.555251784468096,False,9,0,250,0.036,34,35,5,6,11,-Spz1;-TBX20;+TFAP4;+MEIS2;-HOXB2::ELK1;+MAFF;-Six4;+TBX18;-ZIM3;+ZNF257;-ZNF354A,0.127596493596983,0.07635483870967742,0.1602549,0.15753455039842734,0.8,0.555251784468096,0.1111111111111111,0.02296736884745694,0.00534483870967742,0.035256078,0.03465760108765401,0.10400000000000001,0.07218273198085248,0.005555555555555556
