rank,har_id,har_alt_id,surfaced,is_disease_gene,chrom,start,end,gene,gene_distance,gene_confidence,gene_assignment_method,total_score,width,phylop_mean,phylop_max,gene_conf_num,gene_n_disorders,plac_gene,plac_type,plac_atac,gwas_trait,gwas_snp,gwas_pval,gwas_distance,gwas_mapped_trait,gwas_study,gwas_pubmed,brain_dnase_overlap,brain_dnase_peak,temporal_gene,gene_peak_pcw,gene_midfetal_frac,gene_in_midfetal,n_substitutions,n_indels,aln_length,subst_rate,n_motifs_human,n_motifs_chimp,n_motif_gained,n_motif_lost,motif_disruption,motif_tfs,score_constraint,score_acceleration,score_gene,score_disease,score_brain,score_temporal,score_motif,contrib_constraint,contrib_acceleration,contrib_gene,contrib_disease,contrib_brain,contrib_temporal,contrib_motif
11,HAR_2389,HARsv2_2271,shared,True,chr5,82222661,82223171,RPS23,55184,strong,plac_linked,0.4990421651171189,510,1.4304740778165157,8.670999526977539,4,1,RPS23,nearest_distal,False,Educational attainment,rs72778512,4e-11,3969,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,RPS23,24.0,0.6100642796723476,True,192,108,561,0.423841059602649,122,138,4,20,24,+ESR2;-SREBF1;-SREBF2;-OLIG2;-ZNF418;-BACH1;-BATF3;-FOS::JUN;-FOS::JUNB;-JUNB;-FOS::JUND;-JUND;-FOSB::JUNB;-FOSL1;-FOSL1::JUN;-FOSL1::JUNB;-FOSL2;-FOSL2::JUN;-FOSL2::JUNB;-FOSL2::JUND;+GFI1;+HIC2;-RORB;+THAP1,0.07390952303896837,0.8989532151249733,0.858612,0.1749432610579053,0.8,0.6100642796723476,0.24242424242424243,0.013303714147014306,0.06292672505874813,0.18889464,0.03848751743273917,0.10400000000000001,0.07930835635740519,0.012121212121212123
12,HAR_3105,HARsv2_2961;ZOOHAR.13,shared,True,chr9,16708805,16709053,BNC2,161618,definitive,nearest_tss,0.4960600631013353,248,5.8096020425293435,8.897000312805176,5,1,,,,Educational attainment,rs59234174,9e-13,21208,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,BNC2,8.0,0.281219684622549,False,5,0,248,0.020161290322580645,57,65,5,13,18,-POU3F2;-POU5F1B;-Pgr;+Bach1::Mafk;+MAFK;-Dmrt1;+MAF::NFE2;+MAFG::NFE2L1;+Nfe2l2;-Nkx2-1;-NKX2-3;-NKX2-4;-NKX2-8;-NR3C2;-POU3F1;-PPARD;-ZNF320;-ZNF652,0.8385222865425297,0.04276144640998959,0.838382,0.03654200992336487,0.8,0.281219684622549,0.18181818181818182,0.15093401157765535,0.0029933012486992715,0.18444404,0.008039242183140272,0.10400000000000001,0.03655855900093137,0.009090909090909092
13,HAR_3188,HARsv2_3041,shared,True,chr9,106859819,106860259,ZNF462,2907,strong,plac_linked,0.49541745044427915,440,3.338142412359064,8.87600040435791,4,1,ZNF462,nearest_distal,False,Educational attainment,rs149916490,9e-11,6892,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZNF462,9.0,0.6272837043609837,False,6,0,440,0.013636363636363636,137,131,8,2,10,+RARA;+MYBL1;+ZNF136;-ZBTB24;-IRF3;+KLF3;+Nfat5;+NFIC;+Plagl1;+ZNF682,0.4069958290059298,0.028922287390029326,0.89781975,0.14552686131125817,0.8,0.6272837043609837,0.10101010101010101,0.07325924922106736,0.002024560117302053,0.197520345,0.032015909488476796,0.10400000000000001,0.08154688156692788,0.005050505050505051
14,HAR_224,HARsv2_0209,shared,True,chr1,243476286,243476360,SDCCAG8,220282,definitive,plac_linked,0.49138916671640454,74,2.1188267251455914,7.059000015258789,5,1,AKT3,distal,True,Cognitive performance (MTAG),rs2994326,4e-08,11365,cognitive function measurement,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,AKT3,12.0,0.6892077378219688,True,6,0,74,0.08108108108108109,57,60,1,4,5,-ZNF354C;-INSM1;+HINFP;-MEIS1;-ZNF530,0.19409857076271805,0.17197035745422845,0.929718,0.08069672961459459,1.0,0.6892077378219688,0.050505050505050504,0.03493774273728925,0.012037925021795993,0.20453796000000002,0.01775328051521081,0.13,0.08959700591685595,0.0025252525252525255
15,HAR_3062,HARsv2_2921,shared,True,chr9,3957230,3957374,GLIS3,268752,definitive,plac_linked,0.49049687364539135,144,2.560613623631546,8.902999877929688,5,1,RFX3,distal,False,Educational attainment,rs10974256,8e-09,4338,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,RFX3,9.0,0.5719358305728518,False,5,0,144,0.034722222222222224,51,112,4,65,69,-FOXG1;-FOXL1;-MEF2B;+EGR2;-MEF2D;-POU3F2;-POU3F3;-FOXO4;-FOXO6;-HOXD3;-HOXB1;-HOXA3;-ALX3;-Arx;-DRGX;+EGR3;-HOXA1;-EMX1;-EMX2;-EN1;-Foxo1;-ESX1;-HOXA2;-EVX1;-EVX2;-FOXC2;-FOXE1;-FOXF2;-Foxj3;-FOXK2;-FOXO1::ELF1;-Foxo3;-Foxq1;-GSX1;-Hmx1;-Hmx2;-Hmx3;-HOXB2;-HOXB3;-HOXB5;-HOXC8;-ISX;-LBX1;-Lhx1;-Lhx4;-Lhx8;-LMX1A;-MEOX1;-MGA::EVX1;-mix-a;-MIXL1;-MNX1;+NFIA;+NFIX;-NKX6-2;-NOTO;-PDX1;-POU1F1;-POU6F1;-POU6F2;-PRRX1;-PRRX2;-Shox2;-TLX2;-UNCX;-VAX1;-VAX2;-VSX1;-VSX2,0.2712362803827576,0.07364471326164876,0.881248,0.13383868375101796,0.8,0.5719358305728518,0.696969696969697,0.04882253046889637,0.005155129928315414,0.19387456,0.02944451042522395,0.10400000000000001,0.07435165797447074,0.03484848484848485
16,HAR_1554,HARsv2_1476,shared,True,chr2,144514690,144514707,ZEB2,5413,definitive,nearest_tss,0.4902417717611638,17,1.1912941310335607,2.7880001068115234,5,1,,,,Educational attainment,rs6740731,3e-11,1665,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,ZEB2,13.0,0.7323008522083948,True,2,3,17,0.14285714285714285,3,1,3,1,4,-Bcl11B;+Hoxd13;+ISL2;+Nkx3-2,0.03214777468221701,0.3029953917050691,0.994587,0.19644110041689333,0.8,0.7323008522083948,0.04040404040404041,0.005786599442799061,0.02120967741935484,0.21880914,0.043217042091716534,0.10400000000000001,0.09519911078709133,0.0020202020202020206
17,HAR_1308,HARsv2_1243,shared,True,chr18,55692176,55692479,TCF4,103984,definitive,nearest_tss,0.4846526150328269,303,2.807781318719353,8.902999877929688,5,1,,,,Educational attainment,rs1031831,9e-17,12149,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,True,AG80295,TCF4,9.0,0.6200345922109919,False,5,2,303,0.016611295681063124,120,119,8,7,15,-Spz1;-OLIG2;+POU5F1B;-OLIG1;-OLIG3;+FOXN3;+BCL6;-BHLHE23;+ETV5::DRGX;+ETV5::HOXA2;+FLI1::DRGX;-FOXD2;+Foxl2;+POU2F1;-Rhox11,0.3143927206404442,0.035232022291287114,0.896016,0.1649632236089562,0.8,0.6200345922109919,0.15151515151515152,0.05659068971527995,0.002466241560390098,0.19712352,0.036291909193970365,0.10400000000000001,0.08060449698742894,0.007575757575757576
18,HAR_376,HARsv2_0355,shared,True,chr11,17765373,17765683,KCNC1,30010,definitive,plac_linked,0.4845194486797795,310,3.2046301633628542,8.159000396728516,5,1,KCNC1,nearest_distal,False,Educational attainment (MTAG),rs4757589,6e-09,23731,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,KCNC1,19.0,0.6286312561368581,True,7,0,310,0.02258064516129032,54,51,6,3,9,+RUNX2;-Rarb;+IRF5;+Hmga1;+Bcl11B;-Rarg;+Runx1;+RUNX3;-ZNF740,0.383684071393644,0.047892819979188345,1.0,0.00834682085061053,0.8,0.6286312561368581,0.09090909090909091,0.06906313285085593,0.0033524973985431844,0.22,0.0018363005871343166,0.10400000000000001,0.08172206329779155,0.004545454545454546
19,HAR_31,ZOOHAR.277,shared,True,chr1,44252362,44252762,SLC6A9,235022,strong,nearest_tss,0.4814826693704107,400,6.030293998718261,8.869999885559082,4,1,,,,Educational attainment (MTAG),rs1738050,4e-12,10739,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,SLC6A9,35.0,0.4674861284108546,False,4,0,400,0.01,77,80,1,4,5,-ZIC1;-ZBED4;-GLI3;+RFX5;-ZIC4,0.8770559598821442,0.02120967741935484,0.5737334999999999,0.13003681797093755,0.8,0.4674861284108546,0.050505050505050504,0.15787007277878595,0.0014846774193548388,0.12622136999999997,0.02860809995360626,0.10400000000000001,0.060773196693411094,0.0025252525252525255
20,HAR_525,HARsv2_0497,shared,True,chr12,24016380,24016638,SOX5,66029,strong,plac_linked,0.48081975536427146,258,3.7194521486949443,8.902999877929688,4,1,SOX5,distal,False,Depression,rs16926971,2e-09,226,major depressive disorder,"Depression pathophysiology, risk prediction of recurrence and comorbid psychiatric disorders using genome-wide analyses.",37464041,False,,SOX5,12.0,0.6958320159404583,True,107,62,289,0.4713656387665198,96,100,8,12,20,-RARA::RXRA;+MEF2B;-RARA;+MEF2D;+POU3F3;-Rarb;-Pgr;+ZBTB24;+ZNF547;-Hoxa13;-Mafb;-MAFF;-NRL;+Prdm14;-RARA::RXRG;+RORC;+SATB1;-SPIC;-TFAP4::FLI1;-ZNF816,0.47357399105096404,0.9997513144806026,0.85047825,0.17240662630993642,0.0,0.6958320159404583,0.20202020202020202,0.08524331838917353,0.0699825920136422,0.187105215,0.03792945778818601,0.0,0.09045816207225958,0.010101010101010102
21,HAR_526,HARsv2_0498,shared,True,chr12,24229993,24230396,SOX5,279642,strong,plac_linked,0.4799595206312296,403,4.849209707647392,8.902999877929688,4,1,SOX5,distal,True,Educational attainment,rs10842296,1e-09,11943,educational attainment,Polygenic prediction of educational attainment within and between families from genome-wide association analyses in 3 million individuals.,35361970,False,,SOX5,12.0,0.6958320159404583,True,160,88,447,0.4456824512534819,125,123,5,3,8,-ZNF143;+ERF::FIGLA;+ETV5::FIGLA;+Irf1;-MZF1;+Stat2;+TFAP4::FLI1;-ZNF76,0.6708340520038338,0.9452781022553689,0.6902685000000001,0.09401040000000001,0.2,0.6958320159404583,0.08080808080808081,0.12075012936069009,0.06616946715787583,0.15185907,0.020682288000000004,0.026000000000000002,0.09045816207225958,0.004040404040404041
22,HAR_1487,HARsv2_1412,shared,True,chr2,100149084,100149262,AFF3,24998,strong,nearest_tss,0.4732826711475632,178,1.9911044203360508,8.894000053405762,4,2,,,,Intelligence (MTAG),rs4851254,5e-17,2609,intelligence,A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.,29326435,True,AG80295,AFF3,12.0,0.7988263440648333,True,4,0,178,0.02247191011235955,59,65,3,9,12,-ZNF418;-ZNF75D;-GATA2;-GATA4;-GATA5;-Irf1;-IRF4;-IRF8;-STAT1::STAT2;+Stat2;+ZIM3;+ZNF274,0.17179775990987256,0.0476621964479884,0.7312515,0.2919970901063298,0.8,0.7988263440648333,0.12121212121212122,0.030923596783777058,0.003336353751359188,0.16087533,0.06423935982339256,0.10400000000000001,0.10384742472842834,0.0060606060606060615
23,HAR_2396,HARsv2_2278,shared,True,chr5,88633671,88634028,MEF2C,249157,definitive,nearest_tss,0.47238492485582767,357,4.172484029398108,8.902999877929688,5,1,,,,Depressive symptoms,rs10060622,1e-08,24,depressive symptom measurement,Multivariate genome-wide analyses of the well-being spectrum.,30643256,False,,MEF2C,24.0,0.8106719213324207,True,138,70,392,0.42857142857142855,79,74,6,1,7,+ZNF24;+Bach1::Mafk;-MAF;+MAF::NFE2;+MAFG::NFE2L1;+Nfe2l2;+POU2F3,0.5526751182733053,0.9089861751152074,0.750843,0.1598464,0.0,0.8106719213324207,0.0707070707070707,0.09948152128919495,0.06362903225806453,0.16518546,0.035166208,0.0,0.10538734977321469,0.0035353535353535356
24,HAR_2970,HARsv2_2832,shared,True,chr8,76684822,76685557,ZFHX4,3576,definitive,plac_linked,0.4701231753084214,735,5.535469470380926,8.89900016784668,5,1,PEX2,distal,True,Depression,rs6472981,2e-08,4782,major depressive disorder,The Australian Genetics of Depression Study: New Risk Loci and Dissecting Heterogeneity Between Subtypes.,34924174,False,,PEX2,25.0,0.37968182171502496,False,5,0,735,0.006802721088435374,130,132,3,5,8,+EWSR1-FLI1;-ZNF75D;+E2F6;-IRF3;+MAZ;-SOX12;-SOX14;-Yy1,0.7906576739425445,0.014428351985955672,1.0,0.1245262204381325,0.2,0.37968182171502496,0.08080808080808081,0.14231838130965802,0.0010099846390168971,0.22,0.02739576849638915,0.026000000000000002,0.049358636822953245,0.004040404040404041
25,HAR_1764,ZOOHAR.307,shared,True,chr20,50510350,50510419,ADNP,421019,definitive,plac_linked,0.46754647469573135,69,4.09094409340991,8.654999732971191,5,1,DPM1,nearest_distal,False,Educational attainment (MTAG),rs6020560,2e-11,7468,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,DPM1,8.0,0.5020651740011354,False,3,0,69,0.043478260869565216,13,12,2,1,3,+Ahr::Arnt;+MAF;-ZNF610,0.538437928519037,0.09221598877980365,0.728981,0.15005947369281525,0.8,0.5020651740011354,0.030303030303030304,0.09691882713342667,0.006455119214586256,0.16037582,0.03301308421241936,0.10400000000000001,0.0652684726201476,0.0015151515151515154
26,HAR_728,ZOOHAR.113,shared,True,chr13,100636708,100636759,PCCA,547616,definitive,plac_linked,0.4639786222849122,51,4.8999803907731,8.902999877929688,5,1,ZIC2,distal,True,Educational attainment (years of education),rs9300612,3e-08,5743,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,ZIC2,35.0,0.28305669487338725,False,3,0,51,0.058823529411764705,24,36,2,14,16,-CDX1;-CDX2;-CDX4;-ERF::FOXO1;-FOXC2;-FOXD2;-FOXD3;-FOXP2;-Foxq1;+HOXC11;-HOXD9;-IKZF1;-MEIS1;-Nfat5;+Prdm5;-RARG,0.6796988106138867,0.12476280834914612,0.602384,0.11589446079829076,1.0,0.28305669487338725,0.16161616161616163,0.1223457859104996,0.00873339658444023,0.13252448,0.025496781375623966,0.13,0.036797370333540344,0.008080808080808083
27,HAR_1144,HARsv2_1086,shared,True,chr17,2238369,2238811,PAFAH1B1,354843,definitive,plac_linked,0.4618590962362844,442,3.1482622605357555,8.902999877929688,5,1,WDR81,distal,False,Obesity class II and Schizophrenia,rs10852932,4e-08,1356,"obesity disorder, schizophrenia",Shared genetics between classes of obesity and psychiatric disorders: A large-scale genome-wide cross-trait analysis.,36137488,True,AG80295,WDR81,25.0,0.5620731689581827,False,8,1,443,0.01809954751131222,113,111,10,8,18,+SOX21;+ZNF528;+ZNF707;-LIN54;+CTCFL;-MAFF;+PBX3;+PKNOX1;-POU4F1;-POU4F3;+Prdm14;-Sox17;+TFAP2A;+THRB;-VEZF1;-Yy1;-ZNF320;+ZNF675,0.3738420164683653,0.038388556415121886,0.795157,0.13993351485203334,0.8,0.5620731689581827,0.18181818181818182,0.06729156296430575,0.0026871989490585323,0.17493454,0.030785373267447336,0.10400000000000001,0.07306951196456375,0.009090909090909092
28,HAR_1889,ZOOHAR.169,shared,True,chr3,50381521,50381623,NPRL2,30746,strong,plac_linked,0.45700077433140784,102,5.648982698117161,8.864999771118164,4,1,ZMYND10,nearest_distal,False,Genetic generalized epilepsy,rs2236951,1e-09,2028,idiopathic generalized epilepsy,"GWAS meta-analysis of over 29,000 people with epilepsy identifies 26 risk loci and subtype-specific genetic architecture.",37653029,False,,ZMYND10,37.0,0.5762177774313627,False,3,0,102,0.029411764705882353,42,37,5,0,5,+SIX1;+SIX2;+Zic2;+Zic3;+ZNF214,0.8104775247103225,0.06238140417457306,0.8769405,0.1653984,0.0,0.5762177774313627,0.050505050505050504,0.14588595444785804,0.004366698292220115,0.19292691,0.036387648,0.0,0.07490831106607715,0.0025252525252525255
29,HAR_1290,HARsv2_1225,shared,True,chr18,45291880,45292671,SETBP1,611401,definitive,plac_linked,0.4526794656897657,791,4.868364735660991,8.857999801635742,5,2,SETBP1,distal,False,Educational attainment (MTAG),rs58696100,7e-09,12474,self reported educational attainment,Gene discovery and polygenic prediction from a genome-wide association study of educational attainment in 1.1 million individuals.,30038396,True,AG80295,SETBP1,9.0,0.6231980263973231,False,4,0,791,0.0050568900126422255,250,266,1,17,18,-ZNF24;-FOSB::JUN;-FOSL1::JUN;-FOSB::JUNB;-ATF7;-BACH2;-FOS;-FOS::JUN;-JUNB;-FOSL1::JUND;-FOSL2::JUN;-FOSL2::JUNB;-FOSL2::JUND;-JDP2;-JUN::JUNB;-Nkx3-2;-POU4F2;+ZFP57,0.6741785943470778,0.010725500591329882,0.538599,0.08171864156062512,0.8,0.6231980263973231,0.18181818181818182,0.121352146982474,0.0007507850413930918,0.11849178,0.01797810114333753,0.10400000000000001,0.08101574343165201,0.009090909090909092
30,HAR_1680,HARsv2_1595,shared,True,chr2,216636797,216636900,SMARCAL1,224174,definitive,plac_linked,0.4512702546967629,103,2.2284764687991836,8.553999900817871,5,1,SMARCAL1,nearest_distal,False,Intelligence,rs1525608,1e-08,7765,intelligence,A General Cognitive Ability Factor for the UK Biobank.,36378351,True,AG80295,SMARCAL1,9.0,0.5510513231982622,False,4,0,103,0.038834951456310676,43,44,3,4,7,-ZNF35;-LIN54;+Mafb;+MAFF;+NRL;-RFX5;-SMAD2,0.21324384219301484,0.08236767929846539,0.925826,0.110304,0.8,0.5510513231982622,0.0707070707070707,0.03838389159474267,0.005765737550892578,0.20368172,0.02426688,0.10400000000000001,0.07163667201577409,0.0035353535353535356
